Fri Jul 13 21:28:27 2012    cProfile

         153899 function calls (146715 primitive calls) in 0.269 seconds

   Ordered by: cumulative time
   List reduced from 75 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.269    0.269 <string>:1(<module>)
        1    0.000    0.000    0.269    0.269 g:\beurtle\bexml\tests\LibTest.py:38(readRepo)
      310    0.001    0.000    0.268    0.001 g:\beurtle\bexml\libBEXML\parsers\be_dir.py:188(parseIssues)
      308    0.004    0.000    0.262    0.001 g:\beurtle\bexml\libBEXML\parsers\be_dir.py:159(__loadIssueAndComments)
      496    0.004    0.000    0.140    0.000 g:\beurtle\bexml\libBEXML\parsers\be_dir.py:91(_addComment)
      496    0.004    0.000    0.098    0.000 g:\beurtle\bexml\libBEXML\parsers\be_dir.py:22(__init__)
      308    0.003    0.000    0.092    0.000 g:\beurtle\bexml\libBEXML\parsers\be_dir.py:68(__init__)
14728/11136    0.027    0.000    0.079    0.000 g:\beurtle\bexml\libBEXML\PropertiedDictionary.py:222(__setattr__)
     7048    0.049    0.000    0.069    0.000 g:\beurtle\bexml\libBEXML\PropertiedDictionary.py:151(_addProperty)
8432/6448    0.015    0.000    0.067    0.000 g:\beurtle\bexml\libBEXML\comment.py:148(__setattr__)
      308    0.005    0.000    0.063    0.000 g:\beurtle\bexml\libBEXML\issue.py:66(__init__)
      496    0.008    0.000    0.049    0.000 g:\beurtle\bexml\libBEXML\comment.py:60(__init__)
6296/4688    0.011    0.000    0.048    0.000 g:\beurtle\bexml\libBEXML\issue.py:186(__setattr__)
    30448    0.033    0.000    0.039    0.000 g:\beurtle\bexml\libBEXML\PropertiedDictionary.py:119(__lookup)
    15224    0.011    0.000    0.022    0.000 g:\beurtle\bexml\libBEXML\PropertiedDictionary.py:163(_isProperty)
     7048    0.008    0.000    0.020    0.000 g:\beurtle\bexml\libBEXML\PropertiedDictionary.py:12(__init__)
     1984    0.002    0.000    0.017    0.000 g:\beurtle\bexml\libBEXML\comment.py:97(isLoaded)
     1112    0.011    0.000    0.012    0.000 f:\python27\lib\ntpath.py:164(split)
     1608    0.002    0.000    0.012    0.000 g:\beurtle\bexml\libBEXML\issue.py:110(isLoaded)
     7048    0.009    0.000    0.012    0.000 g:\beurtle\bexml\libBEXML\PropertiedDictionary.py:22(reset)
      174    0.010    0.000    0.010    0.000 {nt.listdir}
      804    0.001    0.000    0.010    0.000 f:\python27\lib\ntpath.py:196(basename)
      308    0.001    0.000    0.010    0.000 f:\python27\lib\genericpath.py:15(exists)
      308    0.009    0.000    0.009    0.000 {nt.stat}
    16337    0.008    0.000    0.008    0.000 {method 'replace' of 'str' objects}
      496    0.002    0.000    0.008    0.000 g:\beurtle\bexml\libBEXML\issue.py:151(_addComment)
      804    0.005    0.000    0.007    0.000 f:\python27\lib\uuid.py:101(__init__)
      992    0.001    0.000    0.006    0.000 g:\beurtle\bexml\libBEXML\comment.py:67(<lambda>)
     1112    0.004    0.000    0.006    0.000 f:\python27\lib\ntpath.py:63(join)
